"id";"CIF/NIF/NIE";"No Identificacion RII";"Titular";"Denominacion/Rotulo del establecimiento";"Direccion";"Municipio";"Localidad";"Provincia";"CP";"Telefono";"Email";"Fax";"URL";"Actividad Principal";"Descripcion Actividad Principal";"Actividades Secundarias";"Descripcion Actividades Secundarias"
"4514";"B31225964";"15-A-473-00052459";"ELOMENDI SL";"ELOMENDI ETXARREN";"AUTOVIA N-240 KM. 23,75";"ARAKIL";"Etxarren";"Navarra";;;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4515";"A31147796";"15-A-473-00052523";"ESTACION DE SERVICIO BERIAIN SA";"E.S. AVIA, VILLANUEVA DE ARAKIL";"CTRA. PAMPLONA-VITORIA 26";"ARAKIL";"Hiriberri/Villanueva";"Navarra";"31850";;"grupoberiain@grupoberiain.net";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4516";"A31710064";"15-A-467-00052259";"ACCIONA BIOCOMBUSTIBLES SA";"ACCIONA BIOCOMBUSTIBLES, S.A.";"POL. IND. MUTILVA C/NUEVA, 1";"ARANGUREN";"Mutilva Alta/Mutiloagoiti";"Navarra";;;;;;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"4517";"B31561608";"15-A-473-00053599";"NASERMO SL";"NASERMO, S.L.";"CR N-121 KM 5 PG IND TALLUNTXE 108-114 BJ";"ARANGUREN";"Tajonar/Taxoare";"Navarra";"31192";;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4518";"B31665383";"15-A-473-00053002";"AN ENERGETICOS SL";"E.S. EZKIBEL, S. COOP.";"POLIGONO INDUSTRIAL, 10";"ARRÓNIZ";"Arróniz";"Navarra";;;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4519";"B31561608";"15-A-473-00052400";"NASERMO SL";"ESTACION DE SERVICIO CARCAR";"CTRA. NA-122, KM. 31";"CÁRCAR";"Cárcar";"Navarra";"31579";"948674005";;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4520";"B88330287";"15-A-473-00012676";"DST NAFARROA 2012 SL";"ESTACIÓN DE SERVICIO DST ALZUZA";"CTRA. N-150 PK 1,565 MD";"EGÜÉS";"Alzuza";"Navarra";"31486";"610628310";"DST.ALZUZA@DSTRUCKS.EU";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4521";"A80503105";"15-A-473-00012692";"SARAS ENERGIA SA";"ESTACION DE SERVICIO ELCANO II";"CTRA, NA-150, KM. 1,5 (M.I.)";"EGÜÉS";"Alzuza";"Navarra";;;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4522";"B31692494";"15-A-473-00052022";"JOSENEA SL";"JOSENEA";"CTRA. N-138 P.K. 46,2";"ERRO";"Olaberri";"Navarra";;;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4523";"B31695794";"15-A-473-00052553";"ESTACION DE SERVICIO CASTILLO DE MARCILLA SL";"ESTACION DE SERVICIO FUSTIÑANA";"P. I. EL CALVARIO, VIA PRIC. Nº 2";"FUSTIÑANA";"Fustiñana";"Navarra";;;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4524";"A31064561";"15-A-473-00051932";"TRANSPORTES OTEIZA SA";"TRANSPORTES OTEIZA, S.A.";"POL. IND,.COMARCA 2,C/A 42";"GALAR";"Esparza de Galar";"Navarra";;;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4525";"A20004008";"15-A-467-00014052";"VIUDA DE LONDAIZ Y SOBRINOS DE L MERCADER SA";"MERCADAIZ, S.A.";"CAMINO CLH, S/N";"GALAR";"Salinas de Pamplona ";"Navarra";;;;;;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"4526";"A28354520";"15-A-473-00050883";"CEDIPSA COMPAÑIA ESPAÑOLA DISTRIBUIDORA DE PETROLEOS SA";"CEDIPSA E.S. SARASA";"CR N-240 PK 11,32";"IZA/ITZA";"Sarasa";"Navarra";;;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4527";"B31645161";"15-A-473-00052370";"ELIZ-ALDEA SL";"ELIZALDEA, S.L.- EE SS (Luzaide/Valcarlos)";"Pekotxeta Polígono 1 Parcela 105";"LUZAIDE/VALCARLOS";"Luzaide/Valcarlos";"Navarra";"31660";;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4528";"E31662984";"15-A-473-00052417";"CHUECA BUZON V CHUECA ESCRIBANO A Y CHUECA MARTIARTU C";"ESTACION DE SERVICIO MURCHANTE";"CTRA. NA-6840, KM. 3,95";"MURCHANTE";"Murchante";"Navarra";;;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4529";"A28354520";"15-A-473-00014335";"CEDIPSA COMPAÑIA ESPAÑOLA DISTRIBUIDORA DE PETROLEOS SA";"ESTACION DE SERVICIO OLITE";"CTRA. N-121 KM. 39,9";"OLITE/ERRIBERRI";"Olite/Erriberri";"Navarra";;;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4530";"B31822539";"15-A-473-00052731";"ITURSER SL";"E.S. ITURRAMA";"ESQUIROZ, S/N";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31007";"609009985";"iturser@iturser.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4531";"B31665383";"15-A-473-00053271";"AN ENERGETICOS SL";"ASOCIACIóN DE LABRADORES S.COOP.";"CTRA. TUDELA-FITERO, KM. 2,5 KM. (NA-160)";"TUDELA";"Tudela";"Navarra";;;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4532";"15637523F";"15-A-473-00012280";"YOLDI SENGARIZ FIDEL";"FIDEL YOLDI SENGARIZ";"RONDA DE BARA-AIN";"CIZUR";"Astráin";"Navarra";"31190";;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4533";"A25014010";"15-A-473-00011489";"DISTRIBUIDORA DE P DE PETROLEOS S A";"DISPESA";"CORAZON DE MARIA 6";"ARAITZ";"Gaintza";"Navarra";"31891";;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4534";"A28294726";"15-A-467-00014453";"ENAGAS SA";"ENAGAS, S.A.";"CTRA.SALINAS A POTASAS, S/N";"GALAR";"Salinas de Pamplona ";"Navarra";"31191";"5893000";;;;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"4535";"A78492782";"15-A-473-00011895";"CAMPSA ESTACIONES DE SERVICIO SA";"ESTACION DE SERVICIO BERA MD (CAMPSA ESTACIONES DE SERVICIO SA)";"CTRA N-121A PK 77,3 Margen Derecha";"BERA";"Kaule";"Navarra";"31780";;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4536";"A31037294";"15-A-081-00900301";"HORMIGONES PAMPLONA SA";"PLANTA DE YESOS";"Ctra Ribaforada Km 1,5";"ABLITAS";"Ablitas";"Navarra";"31523";"948368036";"rlalanne@horpasa.com";"948843040";;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"4537";"A31056500";"15-A-081-00000310";"CONSTRUCCIONES ZUBILLAGA SA";"CONSTRUCCIONES ZUBILLAGA, S.A.-CAMPADERA NUEVA";"Parcela 543, 587A y 588A del Polígono nº 10";"ARTAJONA";"Artajo/Artaxo";"Navarra";"31140";"948276862";"judit@zubillaga.es";"948263522";;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"4538";"A31056500";"15-A-081-00000311";"CONSTRUCCIONES ZUBILLAGA SA";"CONSTRUCCIONES ZUBILLAGA, S.A.- CANTERA AQUITANA";"Parcelas 580 y 608 del Polígono nº 9";"ARTAJONA";"Artajo/Artaxo";"Navarra";"31140";"948276862";"judit@zubillaga.es";"948263522";;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"4539";"B31496490";"15-A-089-00010535";"ARALUR SL";"ARALUR, S.L.";"Ctra N-I, Km. 390";"ZIORDIA";"Ziordia";"Navarra";"31809";"629450421";"ARALUR@HOTMAIL.COM";;;"8.92";"Extracción de turba";;
"4540";"B31159155";"15-A-081-00000086";"EXCAVACIONES Y TRANSPORTES HNOS AZANZA LOPEZ SL";"EXCAVACIONES Y TRANSPORTES HNOS AZANZA LOPEZ, S.L. - CANTERA";"PARAJE MENDIA";"CIZUR";"Muru-Astráin";"Navarra";"31190";;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4541";"B31757776";"15-A-081-00052355";"VITIN Y PACHI SL";"GRAVERA ""LAS CANTERUELAS""";"PARAJE LAS CANTERUELAS";"CORELLA";"Corella";"Navarra";"31591";"948401189";"excavacionesvg@gmail.com";"948401336";;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4542";"A31005986";"15-A-236-00006718";"CANTERAS Y HORMIGONES DEL NORTE SA";"CANTERAS Y HORMIGONES DEL NORTE, S.A.";"PG ARETA NORTE CL ALTXUTXATE S/N";"HUARTE/UHARTE";"Huarte/Uharte";"Navarra";"31316";"948330032";"hormiberiain@infornegocio.com";"948317513";;"23.69";"Fabricación de otros productos de hormigón, yeso y cemento";;
"4543";"B20156824";"15-A-236-00053401";"HORGOBISA SL";"HORGOBISA, S.L.-CANTERA DE ALDATZ";"Paraje Mina Alberto";"LARRAUN";"Aldatz";"Navarra";"31892";"943883080";"ignacio@horgobisa.es";"943161614";;"23.61";"Fabricación de elementos de hormigón para la construcción";;
"4544";"B31065212";"15-A-081-00000317";"EXCAVACIONES Y TRANSPORTES ORSA SL";"EXCAVACIONES Y TRANSPORTES ORSA (LESAKA)";"BO ALCAIAGA CANTERA ARMASA";"LESAKA";"Lesaka";"Navarra";"31770";"943629144";"excavacionesorsa@telefonica.net";"943629187";;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4545";"A31008758";"15-A-081-00000081";"CALERAS DE LISKAR SA";"LISKAR";"Barrio de Liskar s/n";"LIÉDENA";"Liédena";"Navarra";"31487";"948870631";"ecoclas@horpasa.org";"948430283";;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"4546";"A31080641";"15-A-081-00053010";"HORMIGONES LODOSA SA";"HORMIGONES LODOSA, S.A.";"Ctra Pradejon Km 4,5";"LODOSA";"Lodosa";"Navarra";"31580";"948694179";"info@horlosa.com";"948694179";;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4547";"B31258346";"15-A-081-00016017";"CONSTRUCCIONES Y EXCAVACIONES ERRIBERRI SL";"CONSTRUCCIONES Y EXCAVACIONES ERRI-BERRI, S.L. (ENTIDAD)";"Alcalde Maillata, 37 B";"OLITE/ERRIBERRI";"Olite/Erriberri";"Navarra";"31390";"948712033";"vurriza@erriberrisl.com";"948741069";;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4548";"P3127638I";"15-A-171-00016016";"MANCOMUNIDAD RESIDUOS SOLIDOS RIBERA ALTA DE NAVARRA";"MANCOMUNIDAD RESIDUOS SOLIDOS RIBERA ALTA DE NAVARRA";"TERMINO MORATIEL";"PERALTA/AZKOIEN";"Peralta/Azkoien";"Navarra";"31350";"948713179";"gerencia@riberaaltadenavarra.com";;;"17.11";"Fabricación de pasta papelera";;
"4549";"A31041080";"15-A-081-00000222";"UNCONA SA";"UNCONA";"Paraje Sarrigorri-Urraun, s/n";"TIEBAS-MURUARTE DE RETA";"Tiebas ";"Navarra";"31398";"948244004";"ignacio@grupoberiain.com";"999999999";;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"4550";"B31009020";"15-A-081-00000281";"CERAMICA AñON SL";"EBROSA SA.";"Carretera de Alfaro, 46";"TUDELA";"Tudela";"Navarra";"31500";"948820048";"anon@caravistablanco.com";"948821850";"www.caravistablanco.com";"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4551";"A31065105";"15-A-081-00000239";"HORMIGONES EN MASA DE VALTIERRA SA";"HORMAVASA";"Ctra Cadreita, Km 0,1";"VALTIERRA";"Valtierra";"Navarra";"31514";"0";"mail@nodisponible.es";;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4552";"A28006781";"15-A-081-00013013";"HORMIGONES Y MORTEROS PREPARADOS SA";"ARKAITZA";"Suspeltxiki nº 25 A";"BERA";"Bera";"Navarra";"31780";"948630206";"mail@nodisponible.es";;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4553";"B26229369";"15-A-081-00051636";"DIONISIO RUIZ SL";"DIONISIO RUIZ, S.L.";"Paraje, s/n";"VIANA";"Viana";"Navarra";"26003";"941251500";"mail@nodisponible.es";"941236497";"www.dionisioruiz.es/index.php/inicio/";"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4554";"A31056500";"15-A-081-00000313";"CONSTRUCCIONES ZUBILLAGA SA";"CONSTRUCCIONES ZUBILLAGA, S.A.-CANTERA EL MONTICO";"Parcela 67 del Polígono nº 27";"VALLE DE YERRI/DEIERRI";"Azcona/Aizkoa";"Navarra";"31177";"948276862";"judit@zubillaga.es";"948263522";;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"4555";"A31077233";"15-A-081-00052442";"HORMIGONES BERIAIN SA";"HORMIGONES BERIAIN, S.A. (BUÑUEL)";"Ctra Zaragoza Km 9,5";"BERIÁIN";"Beriáin";"Navarra";"31191";"948386046";"hormiberiain@infonegocio.com";"948402718";;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4556";"A31071186";"15-A-089-00053476";"SALINAS DE NAVARRA SA";"ARRUBIAS";"PARCEL 772 PG 10 ESPARZA Y PARCELA 106 PG 9 A";"GALAR";"Galar";"Navarra";"31191";;;;;"8.91";"Extracción de minerales para productos químicos y fertilizantes";;
"4557";"B31418965";"15-A-081-00016022";"FRANCISCO SAN MARTIN SL";"FRANCISCO SAN MARTIN, S.L.";"PARAJE ERENDAZU  ";"LEZÁUN";"Lezáun";"Navarra";"31177";"948542076";;;;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"4558";"B31533888";"15-A-081-00053239";"EXCAVACIONES ARIBE SL";"EXCAVACIONES ARIBE SL";"CTRA. AURITZ-ISABA, KM 140,5, PARAJE LA POTXA";"GARAIOA";"Garaioa";"Navarra";"31692";"948563352";"asesoria@asesoriagoikoetxea.es";;;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"4559";"P3131100D";"15-A-081-00016009";"CONCEJO DE ALDAZ-ALDATZ";"CANTERA DE ELORRIAGA";"ELORRIAGA  ";"LARRAUN";"Aldatz";"Navarra";"31878";;;;;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"4560";"A31070790";"15-A-201-00000243";"HARINSA NAVASFALT SA";"HARINSA NAVASFALT, S.A.";"POLIGONO INDUSTRIAL DE BERIAIN";"BERIÁIN";"Beriáin";"Navarra";;;;;;"20.14";"Fabricación de otros productos básicos de química orgánica";;
"4561";"A31065105";"15-A-081-00011631";"HORMIGONES EN MASA DE VALTIERRA SA";"LA SARDA";"5 - Parcelas 137, 139, 140 y 386. Paraje La Sarda";"CASTEJÓN";"Castejón";"Navarra";"31590";"948827397";"hormigones.hormavasa@gcpv.com";;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4562";"B31067051";"15-A-233-00002069";"CERAMICA LERGA SL";"CERAMICA LERGA, S.L.";"SAN JUAN 8";"PUEYO";"Pueyo / Puiu";"Navarra";;;;;;"23.32";"Fabricación de ladrillos, tejas y productos de tierras cocidas para la construcción";;
"4563";"A31035413";"15-A-081-00000292";"CANTERAS Y HORMIGONES VRE SA";"MUGA DE CARCAR";"CTRA. ESTELLA, S/N";"ANDOSILLA";"Andosilla";"Navarra";;;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4564";"B31414592";"15-A-081-00051755";"ARIDOS Y EXCAVACIONES VICUñA SL";"VICUÑA I";"PARAJE PLANILLOS PARC. 350 Y 351 KM. 33,4";"ANDOSILLA";"Andosilla";"Navarra";"31261";"948000000";"navarra@navarra.es";;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4565";"B31414592";"15-A-081-00052036";"ARIDOS Y EXCAVACIONES VICUñA SL";"VICUÑA II";"PARAJE PLANILLOS PARC. 392 POL. 2";"ANDOSILLA";"Andosilla";"Navarra";;;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4566";"A31035413";"15-A-081-00000193";"CANTERAS Y HORMIGONES VRE SA";"CANTERA ""LA PLANA DE ABAJO""";"LA PLANA DE ABAJO";"AZAGRA";"Azagra";"Navarra";;;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4567";"A31147150";"15-A-236-00051454";"HORMIGONES AZAGRA SA";"LA PLANA";"PARAJE ARGADIEL";"AZAGRA";"Azagra";"Navarra";"31560";;;;;"23.63";"Fabricación de hormigón fresco";;
"4568";"B31179369";"15-A-081-00051930";"SERVICIOS JORME SL";"CANTERA ""LA PLANA DE ABAJO""";"LA PLANA DE ABAJO";"AZAGRA";"Azagra";"Navarra";;;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4569";"A31077001";"15-A-081-00000052";"CANTERAS ACHA SA";"CANTERA ARRITXURI";"PARAJE ARRITXURI";"BAZTAN";"Almandoz";"Navarra";"31796";"615288260";"ADMINISTRACION@CANTERASACHA.COM";;;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"4570";"A31056500";"15-A-081-00016023";"CONSTRUCCIONES ZUBILLAGA SA";"CABEZO DEL OLIVO";"CABEZO DEL OLIVO";"CABANILLAS";"Cabanillas";"Navarra";;;;;;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"4571";"A31065105";"15-A-081-00016006";"HORMIGONES EN MASA DE VALTIERRA SA";" CUARTO OLIVAR";"CR CADREITA KM 0,1";"CADREITA";"Cadreita";"Navarra";"31515";;;;;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"4572";"B31069453";"15-A-081-00016011";"ARIDOS GAMEN SL";"LA SARDA";"LA SARDA";"CASTEJÓN";"Castejón";"Navarra";;;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4573";"B31078058";"15-A-089-00016012";"RIO VALLE CONSTRUCCION Y OBRA PUBLICA SL";"GRAVERA EL FORNILLO";"EL FORNILLO";"CORELLA";"Corella";"Navarra";;;;;;"8.99";"Otras industrias extractivas no clasificado en otra parte";;
"4574";"A31065105";"15-A-236-00016015";"HORMIGONES EN MASA DE VALTIERRA SA";"PLANTA DE HORMIGON";"CUATRO CAMINOS";"CORELLA";"Corella";"Navarra";"31591";;;;;"23.63";"Fabricación de hormigón fresco";;
"4575";"B31574320";"15-A-081-00000048";"CANTERAS RETEGUI SL";"OROBIAGA";"OROBIAGA";"ERATSUN";"Eratsun";"Navarra";;;;;;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"4576";"A31001738";"15-A-232-00000016";"MAGNESITAS NAVARRAS SA";"EL QUINTO";"AZKARATE";"ESTERIBAR";"Eugi";"Navarra";"31630";"999999999";"no@disponible.com";;;"23.2";"Fabricación de productos cerámicos refractarios";;
"4577";"B31449705";"15-A-081-00051416";"OBRAS Y DESMONTES DE NAVARRA SL";"VALPERTUNA";"VALPERTUNA";"FONTELLAS";"Fontellas";"Navarra";;;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4578";"A31056500";"15-A-081-00016005";"CONSTRUCCIONES ZUBILLAGA SA";"SAN JUS";"LA ERMITA INDURAIN";"IZAGAONDOA ";"Induráin";"Navarra";;;;;;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"4579";"B31555642";"15-A-081-00051944";"FLORENCIO SUESCUN CONSTRUCCIONES SL";"GRAVERA ""LARRAGA""";"POSTUBILLO";"LARRAGA";"Larraga";"Navarra";;;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4580";"B31555642";"15-A-081-00053279";"FLORENCIO SUESCUN CONSTRUCCIONES SL";"GRAVERA VALDECABALLOS";"PARAJE VALDECABALLOS";"LARRAGA";"Larraga";"Navarra";;;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4581";"A31056500";"15-A-081-00016007";"CONSTRUCCIONES ZUBILLAGA SA";"EL PASO Y LA REVUELTA";"EL PASO Y LA REVUELTA";"LEACHE";"Leache/Leatxe";"Navarra";;;;;;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"4582";"A28006781";"15-A-081-00000191";"HORMIGONES Y MORTEROS PREPARADOS SA";"ARMASA";"CAMANDEGUI (Bº ALKAYAGA)";"LESAKA";"Lesaka";"Navarra";;;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4583";"A31213127";"15-A-081-00053343";"EXCAVACIONES MUñOZ SA";"EL OLMAR";"POL. 8 PARCELA 58";"MARCILLA";"Marcilla";"Navarra";;;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4584";"A26028175";"15-A-081-00016021";"GREGORIO MARTINEZ SA";"CANTERA ""EL PONTON""";"EL PONTON";"MENDAVIA";"Mendavia";"Navarra";;;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4585";"A26028175";"15-A-081-00051509";"GREGORIO MARTINEZ SA";"LA ULAGA";"TERMINO LA ULAGA";"MENDAVIA";"Mendavia";"Navarra";;;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4586";"A26028175";"15-A-081-00052819";"GREGORIO MARTINEZ SA";"GRAVERA ""EL ENCIMERO""";"EL ENCIMERO Y LA BARRANCA";"MENDAVIA";"Mendavia";"Navarra";;;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"4587";"A31000268";"15-A-081-00000013";"CEMENTOS PORTLAND VALDERRIVAS SA";"CEMENTOS PORTLAND VALDERRIVAS, S.A.-CANTERA EGUIBIL";"Estacion, 37";"OLAZTI/OLAZAGUTÍA";"Olazti/Olazagutía";"Navarra";"31809";"948466100";"robertodomaica@valderrivas.es";"948466110";"www.valderrivas.es";"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
